compound,n_paired,baseline_mean,one_year_mean,fold_change,p_value
TMAO,44,1127868.4064275569,3199187.492897727,2.8364900325836118,2.450273889752845e-06
Hydroxyproline,44,693590.1161221591,757857.4339488636,1.0926589297235392,0.1895301878316622
Guanidinoacetic_acid,44,161672.69602272726,205974.49431818182,1.2740215224049136,0.00011049663360879527
SDMA,44,709010.8053977273,733687.2272727273,1.0348040138276278,0.45380588661381555
Carnitine_free,44,86351764.9090909,88922943.54545455,1.029775635032712,0.5055180484285235
